id,nombre,valor
1,Elemento1,5
2,Elemento2,10
3,Elemento3,15
4,Elemento4,20
5,Elemento5,25
6,Elemento6,30
7,Elemento7,35
8,Elemento8,40
9,Elemento9,45
10,Elemento10,50
11,Elemento11,55
12,Elemento12,60
13,Elemento13,65
14,Elemento14,70
15,Elemento15,75
16,Elemento16,80
17,Elemento17,85
18,Elemento18,90
19,Elemento19,95
20,Elemento20,100
21,Elemento21,105
22,Elemento22,110
23,Elemento23,115
24,Elemento24,120
25,Elemento25,125
26,Elemento26,130
27,Elemento27,135
28,Elemento28,140
29,Elemento29,145
30,Elemento30,150
