producto,precio,cantidad
Producto1,10,2
Producto2,20,4
Producto3,30,6
Producto4,40,8
Producto5,50,10
Producto6,60,12
Producto7,70,14
Producto8,80,16
Producto9,90,18
Producto10,100,20
Producto11,110,22
Producto12,120,24
Producto13,130,26
Producto14,140,28
Producto15,150,30
Producto16,160,32
Producto17,170,34
Producto18,180,36
Producto19,190,38
Producto20,200,40
Producto21,210,42
Producto22,220,44
Producto23,230,46
Producto24,240,48
Producto25,250,50
Producto26,260,52
Producto27,270,54
Producto28,280,56
Producto29,290,58
Producto30,300,60
